Date,Close,High,Low,Open,Volume
2021-05-17,7951.5,8035.0,7922.5,7926.7001953125,44088400
2021-05-18,8080.89990234375,8099.0,7959.10009765625,7959.7001953125,41015900
2021-05-19,7855.10009765625,8075.7001953125,7826.7998046875,8075.60009765625,55675300
2021-05-20,7858.10009765625,7860.39990234375,7750.7998046875,7853.2001953125,0
2021-05-21,7699.2998046875,7863.10009765625,7664.60009765625,7853.0,50964600
2021-05-24,7783.2001953125,7783.2001953125,7678.60009765625,7699.0,32996100
2021-05-25,7809.2001953125,7852.7998046875,7770.7001953125,7786.7998046875,35426100
2021-05-26,7762.7001953125,7810.0,7713.39990234375,7810.0,30942200
2021-05-27,7738.89990234375,7827.0,7738.89990234375,7769.10009765625,79641900
2021-05-28,7867.10009765625,7900.60009765625,7732.89990234375,7734.60009765625,41063800
2021-05-31,7742.39990234375,7863.7998046875,7727.2998046875,7859.2998046875,40359200
2021-06-01,7845.89990234375,7861.39990234375,7736.0,7744.2001953125,34412600
2021-06-02,8163.7001953125,8172.2001953125,7835.39990234375,7835.39990234375,58140400
2021-06-03,8430.900390625,8443.5,8173.7998046875,8180.0,62209800
2021-06-04,8535.7998046875,8535.7998046875,8419.2998046875,8439.099609375,53649100
2021-06-07,8535.7998046875,8615.2998046875,8470.7001953125,8539.7001953125,33479600
2021-06-08,8557.599609375,8580.099609375,8499.2001953125,8524.0,36586900
2021-06-09,8531.400390625,8619.7998046875,8515.900390625,8561.7001953125,51006200
2021-06-10,8437.900390625,8533.400390625,8416.099609375,8533.099609375,51675100
2021-06-11,8483.7998046875,8521.900390625,8380.7001953125,8427.599609375,39360800
2021-06-15,8491.900390625,8532.099609375,8453.0,8485.2001953125,33290900
2021-06-16,8618.2998046875,8670.599609375,8497.2001953125,8497.2001953125,44973800
2021-06-17,8456.7998046875,8639.5,8435.900390625,8629.599609375,65981100
2021-06-18,8296.5,8454.900390625,8261.7998046875,8454.900390625,71712600
2021-06-21,8135.0,8292.2998046875,8119.39990234375,8292.2998046875,57871000
2021-06-22,8317.5,8373.2998046875,8139.2998046875,8142.7001953125,236362600
2021-06-23,8215.2001953125,8313.7001953125,8193.0,8310.099609375,0
2021-06-24,8113.89990234375,8211.400390625,8085.60009765625,8209.5,46871800
2021-06-25,8118.0,8136.89990234375,8078.2998046875,8119.5,47601300
2021-06-28,8131.89990234375,8172.2998046875,8105.89990234375,8113.7001953125,32707300
2021-06-29,8067.2001953125,8124.39990234375,7968.2998046875,8123.60009765625,36811400
2021-06-30,8051.10009765625,8115.2998046875,8004.2998046875,8073.0,51637700
2021-07-01,8017.10009765625,8096.2998046875,8008.7998046875,8055.2001953125,35341100
2021-07-02,8158.2001953125,8195.400390625,8027.10009765625,8030.60009765625,45507900
2021-07-05,8323.599609375,8348.599609375,8155.60009765625,8160.10009765625,36637200
