date,xejVolatility,cloudCover
2018-05-28,370.0,53
2018-05-29,96.7998046875,36
2018-05-30,119.0,61
2018-05-31,292.2998046875,51
2018-06-01,146.099609375,96
2018-06-04,97.5,51
2018-06-05,182.099609375,16
2018-06-06,296.2001953125,56
2018-06-07,184.0,97
2018-06-08,129.599609375,99
2018-06-12,110.3994140625,77
2018-06-13,189.099609375,59
2018-06-14,105.5,58
2018-06-15,197.6005859375,56
2018-06-18,164.3994140625,76
2018-06-19,163.900390625,95
2018-06-20,158.7001953125,50
2018-06-21,119.2998046875,36
2018-06-22,224.2998046875,33
2018-06-25,208.5,26
2018-06-26,139.0,70
2018-06-27,200.099609375,23
2018-06-28,222.6005859375,80
2018-06-29,95.0,65
2018-07-02,210.7998046875,35
2018-07-03,122.7001953125,63
2018-07-04,142.6005859375,62
2018-07-05,103.2001953125,81
2018-07-06,231.80078125,64
2018-07-09,99.8994140625,75
2018-07-10,151.8994140625,24
2018-07-11,163.900390625,63
2018-07-12,253.8994140625,45
2018-07-13,73.3994140625,14
2018-07-16,170.2998046875,37
2018-07-17,280.0,24
2018-07-18,132.3994140625,7
2018-07-19,94.2001953125,63
2018-07-20,133.1005859375,47
2018-07-23,149.900390625,50
2018-07-24,82.5,36
2018-07-25,116.599609375,46
2018-07-26,116.7998046875,58
2018-07-27,200.5,42
2018-07-30,86.0,53
2018-07-31,160.8994140625,33
2018-08-01,79.0,28
2018-08-02,119.7998046875,55
2018-08-03,149.599609375,83
2018-08-06,94.5,71
2018-08-07,136.3994140625,71
2018-08-08,130.3994140625,62
2018-08-09,193.3994140625,37
2018-08-10,234.599609375,48
2018-08-13,138.2998046875,58
2018-08-14,188.0,1
2018-08-15,204.2001953125,56
2018-08-16,375.2001953125,45
2018-08-17,91.0,51
2018-08-20,178.8994140625,72
2018-08-21,252.0,42
2018-08-22,99.19921875,11
2018-08-23,131.099609375,91
2018-08-24,91.30078125,35
2018-08-27,114.2998046875,65
2018-08-28,73.099609375,53
2018-08-29,96.5,60
2018-08-30,92.30078125,93
2018-08-31,98.900390625,64
2018-09-03,92.5,18
2018-09-04,160.1005859375,1
2018-09-05,87.5,69
2018-09-06,157.8994140625,39
2018-09-07,254.599609375,28
2018-09-10,204.2998046875,0
2018-09-11,251.0,45
2018-09-12,228.2001953125,47
2018-09-13,98.30078125,10
2018-09-14,119.8994140625,29
2018-09-17,182.900390625,26
2018-09-18,205.80078125,40
2018-09-19,157.2001953125,61
2018-09-20,170.2998046875,66
2018-09-21,146.2001953125,12
2018-09-24,142.900390625,15
2018-09-25,284.0,22
2018-09-26,170.2001953125,31
2018-09-27,143.2001953125,65
2018-09-28,168.2998046875,60
2018-10-01,86.3994140625,76
2018-10-02,131.2998046875,45
2018-10-03,137.7001953125,74
2018-10-04,214.900390625,52
2018-10-05,236.2998046875,11
2018-10-08,222.400390625,95
2018-10-09,138.7998046875,84
2018-10-10,96.2998046875,21
2018-10-11,462.2001953125,19
2018-10-12,256.900390625,29
2018-10-15,179.6005859375,68
2018-10-16,78.2998046875,97
2018-10-17,147.2001953125,100
2018-10-18,175.7001953125,67
2018-10-19,149.900390625,68
2018-10-22,103.0,35
2018-10-23,383.599609375,22
2018-10-24,321.2001953125,60
2018-10-25,294.69921875,33
2018-10-26,302.900390625,1
2018-10-29,140.599609375,4
2018-10-30,214.6005859375,26
2018-10-31,158.0,27
2018-11-01,183.8994140625,84
2018-11-02,242.599609375,38
2018-11-05,193.0,84
2018-11-06,209.0,68
2018-11-07,206.7001953125,37
2018-11-08,123.599609375,74
