date,xejVolatility,cloudCover,viterbi_state_index,viterbi_state_label,posterior_low,posterior_normal,posterior_high,state_entropy
2018-01-02,74.3994140625,54,1,Low Volatility,1.0,9.125268701169849e-124,0.0,2.101170768087883e-122
2018-01-03,117.5,24,1,Low Volatility,0.9534963849093189,0.04647824371231219,2.5371378610083533e-05,0.18830472104217635
2018-01-04,163.0,6,1,Low Volatility,0.8923650378278034,0.10762423378533352,1.0728387102851958e-05,0.3416514817955945
2018-01-05,91.599609375,0,1,Low Volatility,0.9529568971266944,0.04703057507145152,1.2527801783450883e-05,0.18983067530552927
2018-01-08,63.8994140625,25,1,Low Volatility,0.9328734125652456,0.06704678671635579,7.980071817563436e-05,0.2467592832936714
2018-01-09,136.400390625,14,1,Low Volatility,0.9099167903086169,0.09002220257674413,6.1007114992688623e-05,0.3032364834752675
2018-01-10,172.69921875,68,1,Low Volatility,0.8020034936523945,0.19768135109968094,0.00031515524752518217,0.4999578467147424
2018-01-11,100.2001953125,74,1,Low Volatility,0.898449917620234,0.10093368830164777,0.0006163940776733745,0.332236419054874
2018-01-12,108.400390625,78,1,Low Volatility,0.8614408841889956,0.13758971369962078,0.0009694021114923772,0.40811575345067014
2018-01-15,188.0,37,1,Low Volatility,0.5719432549453252,0.4274444811438773,0.0006122639109293331,0.687381559747586
2018-01-16,178.900390625,13,1,Low Volatility,0.6315279562852135,0.3683436205623575,0.00012842315241060634,0.6592883448395656
2018-01-17,140.900390625,0,1,Low Volatility,0.845382492188848,0.15457201058654582,4.549722422600394e-05,0.4310511350705655
2018-01-18,163.2998046875,0,1,Low Volatility,0.8324370219220436,0.16752895067641088,3.402740168444226e-05,0.452324201582412
2018-01-19,146.8994140625,10,1,Low Volatility,0.8571976714950231,0.14269481191513797,0.000107516590050353,0.41089878123081075
2018-01-22,61.2998046875,36,1,Low Volatility,0.7737754976505189,0.22510809120674824,0.0011164111430067515,0.5417173333293559
2018-01-23,211.30078125,0,0,Normal Volatility,0.35920580188103685,0.6407037304631776,9.046765589819611e-05,0.6538523720841145
2018-01-24,129.099609375,15,1,Low Volatility,0.8312862003508673,0.16859973975677495,0.0001140598920047373,0.4547874760140317
2018-01-25,79.1005859375,29,1,Low Volatility,0.8972078939890618,0.10224842011926535,0.0005436858918844819,0.3345671974218765
2018-01-29,142.3994140625,81,1,Low Volatility,0.790168599515454,0.20708333485109026,0.002748065633526161,0.5283771778713167
2018-01-30,176.7001953125,99,0,Normal Volatility,0.4764939748680364,0.5128328831943114,0.010673141937420291,0.7441539002246327
2018-01-31,205.7001953125,100,0,Normal Volatility,0.21396269936541806,0.7534812088993874,0.03255609173545568,0.6546921133525041
2018-02-01,130.099609375,81,0,Normal Volatility,0.3921954802583747,0.5300379888635238,0.0777665308777635,0.9021837296887412
2018-02-02,285.599609375,22,0,Normal Volatility,8.50729094475064e-05,0.8178906089692053,0.1820243181209892,0.4753144941118529
2018-02-05,316.7001953125,32,0,Normal Volatility,2.887653773019708e-07,0.4431707792677442,0.556828931966484,0.6866785486163498
2018-02-06,574.2998046875,10,2,High Volatility,1.0842091827183186e-31,0.003127660722884709,0.9968723392766713,0.021161453645533918
2018-02-07,243.0,33,0,Normal Volatility,7.790116126086028e-06,0.657433598903472,0.34255861098063634,0.6428141760777184
2018-02-08,208.2998046875,70,0,Normal Volatility,0.017478519035119218,0.8229575077542807,0.15956397321030513,0.5239350341866988
2018-02-09,285.0,49,0,Normal Volatility,0.00011112413463489995,0.9371479517814293,0.06274092408413064,0.23555928568288176
2018-02-12,186.7001953125,31,0,Normal Volatility,0.293649019020154,0.7023002938141091,0.00405068716616078,0.6303322621144265
2018-02-13,89.6005859375,7,1,Low Volatility,0.7984706340103824,0.20075152559940132,0.0007778403903660047,0.5076142075284978
2018-02-14,69.599609375,24,1,Low Volatility,0.7252945329883969,0.273139673291886,0.0015657937198173882,0.5975352983617154
2018-02-15,242.0,64,0,Normal Volatility,0.03965651569767107,0.9564791604206031,0.003864323881663245,0.19202122921475565
2018-02-16,108.0,36,0,Normal Volatility,0.444607702901824,0.5521236882614666,0.0032686088364218074,0.7070422447999983
